30/07/2019,23:00:00,
S=ADXL355 Tacc=24.34 Tint=28.32 Vbat=4.329 VCCIO=3.310 VCCCORE=1.226 LED=0
HEARTBEAT
30/07/2019,23:58:22,
S=ADXL355 C=53 F=125.00
48.6400,580.8000,16388.7363
48.1920,576.1920,16388.9922
47.4880,572.3520,16396.4160
50.8800,573.5680,16396.1602
49.9840,570.8160,16396.5449
49.0880,571.8400,16397.2480
49.6640,573.8880,16392.7676
52.4800,575.2320,16392.6406
53.5680,580.5440,16394.8809
54.2720,580.2240,16394.1113
52.2880,578.6240,16395.3926
49.9200,574.2720,16396.6719
48.4480,570.9440,16395.1992
52.4160,572.4160,16392.1914
54.0800,575.0400,16386.2402
56.9600,575.9360,16393.4727
55.6160,576.8320,16395.1992
54.2720,580.6080,16397.6953
49.3440,582.9760,16398.1445
47.3600,579.0080,16399.3594
50.4960,578.3040,16406.4648
51.7120,577.5360,16397.0566
50.5600,575.2960,16390.2070
47.2320,570.1760,16387.6484
45.0560,564.4800,16385.2168
44.0960,565.6960,16389.9512
49.2160,572.8640,16392.3203
57.5360,578.5600,16397.6328
65.3440,582.7200,16400.1289
64.7680,588.4160,16401.5352
59.2000,591.4880,16399.4238
51.8400,582.8480,16399.0391
47.8720,577.2800,16398.0801
46.3360,567.3600,16397.3770
45.0560,566.5920,16393.2793
43.7760,563.5200,16389.2480
45.1200,562.7520,16386.8809
44.4800,566.2720,16386.9434
49.2160,574.1440,16389.8242
53.8240,579.2000,16398.7207
58.8160,585.4720,16405.2480
64.7680,588.0960,16405.7598
63.2320,585.9840,16402.2402
55.4880,579.7760,16395.3926
48.5120,573.2480,16391.8711
46.4640,563.2000,16390.0156
44.4800,562.3680,16382.6562
44.0960,566.6560,16384.0645
46.0800,569.4080,16389.1836
49.0240,572.6080,16394.3047
49.9200,577.7920,16396.4160
51.5840,581.3120,16401.0879
57.4720,584.3200,16399.9355
55.9360,583.1680,16402.0488
57.6000,580.2880,16395.0723
51.1360,578.8800,16393.3438
51.7120,576.8960,16390.7207
48.8960,570.6240,16390.0801
52.0320,569.3440,16388.1602
48.8960,568.7040,16394.1758
48.2560,572.6080,16392.0000
48.7680,574.3360,16392.3203
50.6880,580.2880,16395.4551
51.3280,583.4880,16397.3125
51.3920,583.0400,16398.5273
52.8000,575.6160,16402.5605
52.2240,573.3760,16401.5996
50.7520,571.8400,16397.2480
51.9680,575.2320,16388.4805
55.0400,575.1680,16384.5762
